index,condensed codes,extract
2,headache,"If you have migraines, you need to keep going back to your doctor when he asks you to return if you are not better. If you do not return, he assumes you have improved with the last medicine he gave you. There are lots of different kinds of preventative and rescue meds to try for migraines, often you try them each for 4-6 weeks, then if you are not better, you go back and try a different one."
2, primary care provider interactions," I can<APO>t think of anything you could have done to damage your head in the situation you described, but a CT or MRI is often done to rule out any serious brain problem with new headaches so if you haven<APO>t had one, ask your doctor if it would be appropriate. Take care, Annette"
4,headache,"I looked into Botox injections for migraines years ago, but the research was not good for that indication at that time. I would have had them in a minute. The needles they use are very tiny compared to the spinal needles and other injection needles.  That can help you a lot. "
4,exploring non pharmaceutical techniques for pain,"Learn some relaxation techniques: slow abdominal breathing, visual imagery, progressive relaxation, etc."
4,pharmaceutical therapy,"Meanwhile call the office back again and ask again if he can call you in a mild anxiolytic drug to help deal with your anxiety. Ask how long before the procedure you should take it, you don<APO>t want it to wear off before you begin. If you threaten to cancel the procedure they may respond faster, or they may say ""cancel it"", so that one is up to you. Take care, Annette Take care, Annette"
5,surgical,"I agree with Dave. Surgery sounds like a blessing that will save you from a life time in pain right now? Unfortunately, it only helps about 50% of the time, and the doctors have no way of telling if it will even work on someone, it is pretty much a crap shoot. Once they find a way of narrowing down the patient pool to the patients that surgery will actually help, they will have much better results. Try to hold out until then if you feel this is the route you want to go. "
5,pharmaceutical therapy,"I personally feel the risk of going off the coumadin is far greater than staying on it and not having surgery. But, that is a personal decision. Take care, Annette"
9,surgical,"I had a C5-6 discectomy without a fusion. I would have been in the hospital 2 nights, 3 days total, except I developed a blood clot in my leg that required another 6 days of hospitalization. I was in the hospital a total of 9 days. Then I was on anticlotting meds for another six months. Maybe he can do one on his lunch hour (he must get a long lunch), but he won<APO>t have the pain or possible complications, recovery time, etc. that goes along with having major surgery. And you are paying for his ""bread and butter"". I was still able to go back to work in 6 weeks, full time ER nursing, 12 hour shifts with no restrictions. My neurosurgeon told me if I had a fusion also it would have been 12 weeks. And a lot more pain. I have heard the pain in the hip from the donor site is worse than the pain in the neck. I did not do my surgery for pain relief, but for loss of function. That was restored immediately. You should have two surgical opinions from different surgeons who do not practice in the same group. Ask them both a lot of questions, and write down the answers to compare. How are you making arrangements for after your surgery, if you did not ask all these questions of your surgeon? Are you doing this for pain relief or loss of function in your hands? What does your doctor consider successful? What do you consider successful? Make sure you are both on the same page. Take care, Annette"
130,communication and learning about pain,"If you and your doctor have decided that you can take three pain pills a day, then take them as you need them, don<APO>t wait until the pain is terrible or they won<APO>t work. I am not sure that the distraction from being in terrible pain isn<APO>t more likely to cause mistakes than being on medicine to relieve the pain. I would not increase my dose on a work day, but if you are on a steady dose and are very careful with your work, it should not be a problem. I wouldn<APO>t mind doing business with someone who using pain meds appropriately. We use a firm mattress, and a 4 inch 5.5 density memory foam topper with a heated mattress pad on top. I find it works as well as anything does. I still get a lot of hip pain when I lay on my side, and use Lidoderm patches for that, one on each hip."
130,social support for pain,"I have been coming here since before it was Web MD, it was a different name back then, Sapient Health Network I think. I think it was about 12 years ago. I never used the chat rooms, just the message boards. Even on the message boards there are cliques at times. Although I don<APO>t find that to be true here, I have found it true on some of the other message boards here at Web MD. I just stick around, and lurk during treacherous times, and come out again after the dust settles. I have been here as long as most people have, and longer than most of the trouble makers. I think for the most part this is a good place to come and share and get answers to questions. If nothing else, I am always honest, lol. Some people prefer blind comfort and support no matter what, but I tend to offer whatever I think might help, and move on if it is unwelcome advice. Hope to see you again soon. Take care, Annette"
178,surgical,"I am not sure how you ended up with nerve damage from lumbar surgery causing pain in your right arm?? That does not make sense to me... I personally do not believe in trying any surgical procedure until after one has tried ALL the non-surgical methods of controlling pain and failed in attaining adequate relief. Before deciding on a surgical procedure, I would get two opinions from independent surgeons who implant this sort of device. Not two from the same practice, but two from different practices. See if you are a good candidate for this procedure. Tell them up front you are just collecting information, and have not made a decision yet. Be sure and ask them what their infection rate is, as well as the rate of any other complications. Any doctor who tells you that his patients never get infected should scare you. One told my husband that when we were looking for a surgeon to replace his hip. We never saw him again. It sounds like you have already found one surgeon to interview, now you need to find another. I would also see a pain management specialist who manages pain with meds including opiates, and also uses other forms of pain management. I strongly feel that if I use several different treatment techniques and get a small amount of relief from each of them, the total amount of relief I can get can be substantial. Charles posted a link recently to research regarding injections and procedures and how well they work. I would find that and read it thoroughly. I would not consent to any invasive procedure unless I had evidence based medicine showing that it was of considerable benefit. I would also need to know how the doctor decided I would make a good candidate for the procedure. Choosing the right candidates is key. Only after doing all of this do I feel you can make an informed decision. Keep in touch. Take care, Annette"
