corpus,postid,text,emo,info,c2c
fibromyalgia_exchange,2417_7,"My goodness cece, You certainly have your hands full !! What an emotional rollercoaster ride it<APO>s been for you lately. I hope he is o.k. My Father-in-law was the same way when it came to hospitals. Didn<APO>t want to stay in them because he figured tey would just keep finding stuff wrong with him. So off he went. Hope everything worked out and he<APO>s o.k. Good luck linda",5.1,1.8,C
fibromyalgia_exchange,1272_3,Quadruple ditto what Cece said. TRUST ME!!!!,2.4,1.5,C
fibromyalgia_exchange,17149_0,"Good Morning MiMi, Sounds to me like yesterday was not only a busy day but a very happy one. I hope you don<APO>t have a <APO>pay back<APO> day today. I really do <APO>over due<APO> on the good days, but even when I have to rest the next day, I wouldn<APO>t trade the chance to <APO>over due<APO> the chance i get. So keep on doing. It<APO>s going to be very warm here in the Nashville area this week, 92 today. :) I like the heat so warm/ hot days do me good. It<APO>s the cold of Fall and Winter that I just hate so much. :-D So after the football game I have projects to get done and the nice warmth of the day will just cheer me on. :) MiMi, while I have your ear I<APO>d like to ask a question about Vit D. I had my yearly Vit D refilled last week ( it got here by mail yesterday.) by Medco, GM<APO>s retirement Pharmacy, :-p and was surprised to see they sent me, not the small powdered pills I usually get, but these little blue pills that were liquid. I have been getting my Vit D 50,000 pills in powder form directly from the Dr.<APO> office since day one, but with the new Rheumy from Vanderbilt, sent the script away for the Vit. D. I didn<APO>t think there<APO>s be any difference in the Vit D but now I get this liquid form in 50,000 :- So it<APO>s got me thinking if what I got was as good as or not as good as what I have been using the past year. :-, I have heard liquid Vit D is beyond better than powder so am thinking Medco, is doing me a favor. Not believing it though, they haven<APO>t so far, but you just never know. So, You being the Board<APO>s resident expert on all things Vit D I thought I<APO>d ask you if you think it<APO>s better than, the same as, as not as good as the powder D. Knowing Medco, I<APO>m guessing I<APO>m getting less for more.:( Thanks for any input and keeping have busy and productive days. Soft hugs going out to you, :) Linda R.",3.6,2.6,C
fibromyalgia_exchange,785_3,I am going to try to grow some herbs.....I am not good with keeping plants alive :sheepish: I want one of those upside down tomato plants!! Caramel Apple salad??!!! OMG!! yum yum yum!!! Can you e-mail me the recipe if it isn<APO>t too much!! I would understand if it is a secret recipe but I love apples and caramel!!!!!!!! Thanks :goofy:,2.5,1.3,C
fibromyalgia_exchange,6324_3,Sorry you are feeling so bad Nancy~ it does get ya when we do tooooo much and ruins our fun Hope you feel better.....so taking the Savella? Curious......keep me posted! YaYa,5.1,1.7,C
fibromyalgia_exchange,17348_3,"Thanks, All, for your well-wishes and prayers. That means so much to me. I<APO>ll keep you posted on how I<APO>m doing. The past week has already been pretty painful, before I even knew what it was. I hope and pray it goes quickly, though. Cece, I do have somebody pretty wonderful taking care of me. My sweet husband is doing a good job of it. I<APO>m blessed that he knows how to fend for himself when it comes to meals! God bless you.....Elizabeth",5.0,1.3,C
fibromyalgia_exchange,14779_0,"Good morning MiMi and FMily, Woke up cold this morning, were supposed to have a possible frost last night. I called my friend to tell her to bring in the tomatos we are growing in pots on her patio. I hope she remembered. We already have some small ones on the vine. I am still cold but refuse to turn the heat back on in April so electric blanket here I come! Not much news out of Nky although I did meet a nice man and had my first 2 dates in over a year. I am very cautious b/c of the FM and don<APO>t date much not too many people can handle the strain it puts on a relationship. He has a good friend that has FM so a least he kind of knows what I go through, if fact had to cxl first date due to pain and fatigue. Brrrr, think I will have a cup of cinna honey tea. Have a good Wednesday FMily. I love you guys. Sheila",2.7,1.6,C
fibromyalgia_exchange,22369_6,I meant to tell you also that Dr. P is no longer on our support site. He was a wonderful asset here. He also suffered from FM and treats patients who have it as well. I sure miss him and his wonderful information. MiMi IN GOD WE TRUST....MAY GOD BLESS AND GUIDE AMERICA....,3.4,3.3,C
fibromyalgia_exchange,10178_8,Dang...all them little bodies flying around...No smart-mouthed comments now...hee hee hee.... Hoosier Daddy INDEED! Jim (That<APO>s what it says at the beginning of the game anyhow),2.0,1.2,C
fibromyalgia_exchange,8687_5,LOL!!!!!! Good one Tessie!!,3.8,1.0,C
fibromyalgia_exchange,15955_2,"Dr. P.....MiMi in NC.....ok....I think I understand what you are saying....but I would also like to know something.....I sleep in a recliner and on pillows also......and have done so for several years now....not by choice though....I can not lie down completely without getting stiff and having pain....and since I sleep in the recliner....I have found that my pain and stiffness is so much less....and I can actually sleep ""better and longer"" in the recliner... I think this is due to spinal issues....do you have an opinion of why? Hope you had a good 4th and enjoyed the holiday.... Thanks... MiMi",2.0,2.3,C
fibromyalgia_exchange,12043_2,In addition to FM I have a neuropathy that leaves me terminally itchy. I can<APO>t wear anything with sparkly threads. :( But fleece is a surefire hit! Nancy mentioned nylon and I love it too but sometimes the lace trim irritates my neuropathy too. Tanya,1.7,3.5,C
fibromyalgia_exchange,6772_7,Zinger would sink! Inspector Gadget / Get Smart sneaky hiding places! I<APO>ll whip out the bananas to make you slip! LOL,1.0,1.1,C
fibromyalgia_exchange,5079_0,Thanks for the good attitude adjustment today !!! cece,4.0,1.9,C
fibromyalgia_exchange,17294_0,hugs to you...I have been so worried all day...I so hope he can show what she is...bless you all... cece Let<APO>s put the fun back in dysfunctional !- Mary Englebright,5.5,1.4,C
fibromyalgia_exchange,576_4,"Good Morning MeMe, Well I did it I worked out for 35 minutes today and it felt great Thanks for all the encouragement.. Have a Beautiful Day!!!! Rozzy",3.7,1.1,C
fibromyalgia_exchange,6694_0,"ah...so sorry...I have always been difficult to get blood drawn....people will say...oh,no, I have never had trouble getting blood out of people..and then they see these good veins...and say...""oh this will be a piece of cake."" And Then all of the sudden...""oh, where did that vein go? "".... cece",3.4,1.8,C
fibromyalgia_exchange,14484_4,Tried it but all it did was keep me awake at night! Did nothing for pain relief.,1.0,1.9,C
fibromyalgia_exchange,13022_0,How Sweet. Six!!! It is a bittersweet day isn<APO>t it? Lets all go kicking and screeming. Fight Fight Fight! I live in Florida. I remember when i was like ten this kind of weather but that was..... well over ten years ago! :sillygrin: :sealed: :sillygrin: I know its not cold compared to the snow but when you are used to winters being no lower than sixty. a high of 54 is scary indeed!!! I haven<APO>t had to dress in layers in soooooooooooooo long.,3.5,1.9,C
fibromyalgia_exchange,12251_1,"When you go to the doctor, ask him if there is anyone who can help you with the forms. I used to work in a private practice and we frequently helped fill out those forms and sent them in for patients. A person from their billing/coding department could also be helpful. If the doctor<APO>s office can<APO>t help, check back with the drug company and see if they have anyone who can assist you with figuring out the forms. As for last year<APO>s income taxes, you<APO>ll have to be pulling those out soon to do this year<APO>s taxes so may as well go at it. There should be an area on the form where you can indicate that you are divorcing, hense his earnings from last year, and this, won<APO>t be avalaible to you going forward. I say it doesn<APO>t hurt to talk to his attorney and hear what he has to offer. You can always decide to walk away at any time you want. Listening doesn<APO>t cost you a dime except time.",1.6,6.1,C
fibromyalgia_exchange,10361_0,Ooo..Yuck Meme...that<APO>s awful...so sorry to hear that you<APO>re having a bad flare...I hate those I<APO>ll keep you in my thoughts and hope that you have a good night and feel better tomorrow. Jim,5.9,1.5,C
fibromyalgia_exchange,7887_3,"I wonder how the insurance companies will deal with it. My insurance company sent me a letter asking if my doctor couldn<APO>t prescribe a cheaper drug than Pristiq. My doctor said basically, it seems to be working, why change now and risk trying an unknown. I agree. Kim",1.4,3.4,C
