source,target,weight
TCMG,GingerKohler,10
TCMG,sandie_law,8
TCMG,TCMG,9
TCMG,moonbeamgarden1,10
TCMG,Byroney_WebMD_Staff,8
TCMG,concernedmother76,14
littlebunny366,TexasAutoInsurance,14
littlebunny366,booberryjuice,39
littlebunny366,moonbeamgarden1,14
littlebunny366,Lizzygirl27,35
littlebunny366,jeffiner360,12
GingerKohler,littlebunny366,1034
GingerKohler,TexasAutoInsurance,14
GingerKohler,booberryjuice,38
GingerKohler,moonbeamgarden1,14
GingerKohler,Lizzygirl27,34
GingerKohler,jeffiner360,12
littlebunny366,GingerKohler,20
GingerKohler,GingerKohler,19
tee_trotter,wolf_fang94,45
tee_trotter,deer79,13
tee_trotter,moonbeamgarden1,12
tee_trotter,mkcrad,25
tee_trotter,TCMG,13
tee_trotter,SarahMorris2,13
tee_trotter,abakale,12
tee_trotter,cenehrkorn,15
jhnsalis1,TessMesser,16
jhnsalis1,Sandyshores86,18
jhnsalis1,GingerKohler,15
jhnsalis1,motherofrob,16
1000dfrntdirections,motherofrob,14
1000dfrntdirections,jhnsalis1,149
1000dfrntdirections,TessMesser,14
1000dfrntdirections,Sandyshores86,16
1000dfrntdirections,GingerKohler,14
jhnsalis1,mistypoe,14
1000dfrntdirections,mistypoe,13
wright1979,teeny79,47
ChristophorM,teeny79,42
ChristophorM,wright1979,446
wright1979,MissKay2009,20
ChristophorM,MissKay2009,19
MY4YROLD,Byroney_WebMD_Staff,119
MY4YROLD,MY4YROLD,140
MY4YROLD,desryder,132
MY4YROLD,ash8885,21
parent3512,GingerKohler,389
parent3512,teeny79,310
TCMG,parent3512,517
TCMG,teeny79,194
moonbeamgarden1,GingerKohler,208
moonbeamgarden1,TCMG,3361
moonbeamgarden1,teeny79,183
moonbeamgarden1,parent3512,448
GingerKohler,TCMG,1679
GingerKohler,parent3512,395
GingerKohler,teeny79,174
parent3512,Fancyface23,23
TCMG,Fancyface23,22
moonbeamgarden1,Fancyface23,22
GingerKohler,Fancyface23,21
GingerKohler,Byroney_WebMD_Staff,734
1000dfrntdirections,Byroney_WebMD_Staff,30
Boyzmomee,Byroney_WebMD_Staff,28
Boyzmomee,1000dfrntdirections,332
Boyzmomee,GingerKohler,29
GingerKohler,5grammy,22
1000dfrntdirections,5grammy,13
Boyzmomee,5grammy,13
GingerKohler,j_watson,21
moonbeamgarden1,JessieLeigh13,22
JessieLeigh13,moonbeamgarden1,1982
ineedstregnth,moonbeamgarden1,214
ChristophorM,moonbeamgarden1,186
ChristophorM,ineedstregnth,1436
ChristophorM,ChristophorM,1436
All_is_One,ChristophorM,188
All_is_One,ineedstregnth,166
All_is_One,moonbeamgarden1,94
TCMG,ChristophorM,117
TCMG,ineedstregnth,108
TCMG,All_is_One,308
GingerKohler,ineedstregnth,105
GingerKohler,All_is_One,288
GingerKohler,ChristophorM,114
Boyzmomee,ChristophorM,110
Boyzmomee,TCMG,1914
Boyzmomee,ineedstregnth,102
Boyzmomee,All_is_One,265
Boyzmomee,moonbeamgarden1,69
1000dfrntdirections,Boyzmomee,39
1000dfrntdirections,ChristophorM,29
1000dfrntdirections,TCMG,38
1000dfrntdirections,ineedstregnth,28
1000dfrntdirections,All_is_One,34
1000dfrntdirections,moonbeamgarden1,25
JessieLeigh13,JessieLeigh13,21
ineedstregnth,JessieLeigh13,20
ChristophorM,JessieLeigh13,19
All_is_One,JessieLeigh13,18
TCMG,JessieLeigh13,17
GingerKohler,JessieLeigh13,17
Boyzmomee,JessieLeigh13,16
1000dfrntdirections,JessieLeigh13,12
19August63;,lovmom,17
iamsheera,19August63;,184
motherofrob,iamsheera,960
motherofrob,19August63;,155
iamsheera,lovmom,16
motherofrob,lovmom,16
ChristophorM,DogzRule,19
Byroney_WebMD_Staff,ChristophorM,8511
Byroney_WebMD_Staff,DogzRule,19
moonbeamgarden1,Sena28,18
abakale,moonbeamgarden1,5764
Byroney_WebMD_Staff,abakale,5764
Byroney_WebMD_Staff,moonbeamgarden1,2878
abakale,Sena28,18
Byroney_WebMD_Staff,Sena28,18
Byroney_WebMD_Staff,All_is_One,17
Byroney_WebMD_Staff,goodmorningsunshine,17
Connorsmomloveshim,Byroney_WebMD_Staff,64
abakale,Byroney_WebMD_Staff,63
abakale,Connorsmomloveshim,6515
Boyzmomee,Connorsmomloveshim,2401
Boyzmomee,abakale,3795
Connorsmomloveshim,goodmorningsunshine,13
abakale,goodmorningsunshine,13
Boyzmomee,goodmorningsunshine,13
Boyzmomee,BmarieRN,16
wishfulthinkingmama,Boyzmomee,171
Boyzmomee,wishfulthinkingmama,254
Boyzmomee,Boyzmomee,102
formyboyz,wishfulthinkingmama,194
formyboyz,Boyzmomee,91
motherofrob,wishfulthinkingmama,193
motherofrob,Boyzmomee,91
motherofrob,formyboyz,54067
Boyzmomee,motherofrob,540
Boyzmomee,formyboyz,534
wishfulthinkingmama,BmarieRN,15
