"","i","j","w"
"1919",2,47,19
"3297",2,79,5
"2348",2,136,5
"3486",2,169,3724
"1924",2,178,21
"2282",2,180,5
"3338",2,230,4
"2225",2,232,5
"1920",2,268,1186
"1918",2,279,24
"2281",2,285,2736
"1922",2,306,19
"2336",2,317,5
"2743",2,321,5
"3287",2,324,5
"1931",2,368,5
"2237",2,395,2614
"3495",2,397,4
"1921",2,436,24
"2260",2,474,1566
"2238",2,508,1028
"2294",2,559,4640
"2216",2,592,5
"3310",2,635,4
"3492",2,694,4
"3361",2,723,4
"2272",2,742,5
"1923",2,754,24
"2250",2,759,5
"3364",2,778,4
"5327",4,51,2
"5318",4,61,16807
"5319",4,192,1417
"5317",4,215,974
"5351",4,318,24098
"5356",4,483,2
"5555",4,528,687
"5556",4,550,1871
"5315",4,576,20619
"5316",4,616,3044
"5320",4,748,3160
"5321",4,818,1155
"1295",5,1,1
"1350",5,3,4
"1285",5,10,2
"1338",5,11,1
"359",5,12,13
"69",5,16,13
"1281",5,25,1
"1305",5,28,6
"1264",5,29,1
"1312",5,30,1
"1318",5,33,1
"96",5,35,34
"1263",5,36,7
"1351",5,57,1
"1287",5,72,1
"1267",5,73,7
"1321",5,95,1
"92",5,101,39
"1337",5,108,1
"1335",5,112,2
"64",5,114,30
"1269",5,117,2
"1310",5,121,2
"1314",5,140,3
"1241",5,145,3
"93",5,146,29
"1277",5,156,1
"1349",5,157,2
"1331",5,159,2
"1330",5,170,1
"1299",5,184,1
"1268",5,190,1
"1342",5,193,1
"1293",5,227,27
"1255",5,233,29
"1250",5,235,2
"1334",5,241,1
"1262",5,242,2
"1307",5,248,2
"1257",5,251,1
"1280",5,252,1
"1308",5,253,5
"1240",5,258,1
"1302",5,287,1
"1278",5,292,1
"36",5,297,14
"1294",5,299,1
"1246",5,320,1
"1252",5,326,1
"1340",5,336,7
"1254",5,339,2
"1341",5,340,1
"95",5,346,28
"1328",5,347,45
"1270",5,366,6
"1345",5,370,1
"1309",5,373,1
"105",5,376,12
"33",5,378,149
"1343",5,384,2
"1253",5,385,1
"1313",5,423,2
"1279",5,427,3
"356",5,429,16
"357",5,431,17
"1283",5,434,1
"1316",5,441,1
"1258",5,443,2
"1304",5,450,2
"1244",5,478,3
"1303",5,487,1
"1298",5,495,1
"1288",5,509,2
"1319",5,512,1
"1292",5,515,2
"1243",5,534,1
"1336",5,535,8
"38",5,541,13
"1284",5,546,1
"1260",5,554,1
"97",5,556,25
"32",5,558,14
"1256",5,572,1
"1322",5,574,1
"1326",5,578,1
"1249",5,580,1
"1248",5,591,1
"1273",5,611,4
"1290",5,612,1
"1274",5,619,1
"1333",5,620,1
"1291",5,623,1
"1266",5,626,2
"1272",5,627,2
"1347",5,629,4
"1325",5,631,1
"1346",5,632,2
"1317",5,646,3
"1301",5,650,7
"1344",5,651,6
"1275",5,653,2
"1315",5,654,1
"1242",5,658,1
"1320",5,669,3
"35",5,670,16
"1247",5,674,2
"1332",5,677,24
"1297",5,678,8
"1259",5,710,9
"1261",5,712,1
"1324",5,718,1
"1329",5,730,1
"1251",5,731,785
"1245",5,732,1
"1289",5,734,46
"1339",5,739,2
"1323",5,740,2
"94",5,744,38
"1327",5,749,2
"358",5,752,16
"34",5,756,14
"1286",5,768,1
"1306",5,801,1
"1348",5,802,1
"1282",5,803,3
"1265",5,804,1
"1276",5,819,4
"1296",5,820,2
"1300",5,824,2
"1311",5,826,4
"1271",5,827,1
"106",8,489,17
"588",12,1,1
"642",12,3,5
"1357",12,5,16
"579",12,10,3
"630",12,11,1
"684",12,25,1
"461",12,27,17
"598",12,28,8
"671",12,29,1
"608",12,30,1
"614",12,33,1
"666",12,36,10
"646",12,57,1
"413",12,58,19
"581",12,72,1
"670",12,73,9
"1359",12,76,16
"617",12,95,1
"425",12,107,21
"633",12,108,1
"627",12,112,2
"309",12,114,27
"672",12,117,2
"342",12,119,21
"603",12,121,2
"607",12,140,4
"645",12,145,3
"311",12,146,36
"683",12,156,1
"641",12,157,2
"623",12,159,2
"622",12,170,1
"592",12,184,1
"674",12,190,1
"634",12,193,1
"658",12,227,2845
"367",12,233,44
"654",12,235,2
"626",12,241,1
"665",12,242,2
"446",12,245,21
"600",12,248,2
"366",12,250,1392
"660",12,251,1
"686",12,252,1
"601",12,253,6
"644",12,258,2
"599",12,287,1
"681",12,292,2
"308",12,296,43
"590",12,297,11
"591",12,299,1
"1372",12,312,1325
"650",12,320,1
"659",12,326,1
"632",12,336,10
